EdgeID	Sender	Receiver	Value
1	1	2	1
2	1	4	1
3	1	8	1
4	1	16	1
5	1	18	1
6	1	21	1
7	2	6	1
8	2	7	1
9	2	21	1
10	3	1	1
11	3	2	1
12	3	4	1
13	3	6	1
14	3	7	1
15	3	8	1
16	3	9	1
17	3	10	1
18	3	11	1
19	3	12	1
20	3	14	1
21	3	17	1
22	3	18	1
23	3	20	1
24	3	21	1
25	4	1	1
26	4	2	1
27	4	6	1
28	4	8	1
29	4	10	1
30	4	11	1
31	4	12	1
32	4	16	1
33	4	17	1
34	4	18	1
35	4	20	1
36	4	21	1
37	5	1	1
38	5	2	1
39	5	6	1
40	5	7	1
41	5	8	1
42	5	10	1
43	5	11	1
44	5	13	1
45	5	14	1
46	5	16	1
47	5	17	1
48	5	18	1
49	5	19	1
50	5	20	1
51	5	21	1
52	6	21	1
53	7	2	1
54	7	6	1
55	7	11	1
56	7	12	1
57	7	14	1
58	7	17	1
59	7	18	1
60	7	21	1
61	8	2	1
62	8	4	1
63	8	6	1
64	8	7	1
65	8	10	1
66	8	11	1
67	8	18	1
68	8	21	1
69	9	1	1
70	9	2	1
71	9	6	1
72	9	7	1
73	9	8	1
74	9	10	1
75	9	11	1
76	9	12	1
77	9	14	1
78	9	16	1
79	9	17	1
80	9	18	1
81	9	21	1
82	10	1	1
83	10	2	1
84	10	3	1
85	10	4	1
86	10	5	1
87	10	8	1
88	10	11	1
89	10	13	1
90	10	15	1
91	10	16	1
92	10	17	1
93	10	18	1
94	10	19	1
95	10	20	1
96	11	1	1
97	11	2	1
98	11	7	1
99	12	7	1
100	12	21	1
101	13	1	1
102	13	2	1
103	13	5	1
104	13	9	1
105	13	14	1
106	13	18	1
107	14	2	1
108	14	7	1
109	14	18	1
110	14	21	1
111	15	1	1
112	15	2	1
113	15	3	1
114	15	4	1
115	15	5	1
116	15	6	1
117	15	7	1
118	15	8	1
119	15	9	1
120	15	10	1
121	15	11	1
122	15	12	1
123	15	13	1
124	15	14	1
125	15	16	1
126	15	17	1
127	15	18	1
128	15	19	1
129	15	20	1
130	15	21	1
131	16	1	1
132	16	2	1
133	16	10	1
134	16	18	1
135	17	1	1
136	17	2	1
137	17	4	1
138	17	7	1
139	17	21	1
140	18	1	1
141	18	2	1
142	18	3	1
143	18	4	1
144	18	5	1
145	18	7	1
146	18	8	1
147	18	9	1
148	18	10	1
149	18	11	1
150	18	13	1
151	18	14	1
152	18	15	1
153	18	16	1
154	18	19	1
155	18	20	1
156	18	21	1
157	19	1	1
158	19	2	1
159	19	3	1
160	19	5	1
161	19	7	1
162	19	10	1
163	19	11	1
164	19	14	1
165	19	15	1
166	19	18	1
167	19	20	1
168	20	1	1
169	20	2	1
170	20	6	1
171	20	8	1
172	20	11	1
173	20	12	1
174	20	14	1
175	20	15	1
176	20	16	1
177	20	17	1
178	20	18	1
179	20	21	1
180	21	2	1
181	21	3	1
182	21	4	1
183	21	6	1
184	21	7	1
185	21	8	1
186	21	12	1
187	21	14	1
188	21	17	1
189	21	18	1
190	21	20	1
