EdgeID	Sender	Receiver	Value
1	1	2	1
2	1	4	1
3	1	8	1
4	1	12	1
5	1	16	1
6	2	1	1
7	2	18	1
8	2	21	1
9	3	14	1
10	3	19	1
11	4	1	1
12	4	2	1
13	4	8	1
14	4	12	1
15	4	16	1
16	4	17	1
17	5	2	1
18	5	9	1
19	5	11	1
20	5	14	1
21	5	17	1
22	5	19	1
23	5	21	1
24	6	2	1
25	6	7	1
26	6	9	1
27	6	12	1
28	6	17	1
29	6	21	1
30	8	4	1
31	10	3	1
32	10	5	1
33	10	8	1
34	10	9	1
35	10	12	1
36	10	16	1
37	10	20	1
38	11	1	1
39	11	2	1
40	11	3	1
41	11	4	1
42	11	5	1
43	11	8	1
44	11	9	1
45	11	12	1
46	11	13	1
47	11	15	1
48	11	17	1
49	11	18	1
50	11	19	1
51	12	1	1
52	12	4	1
53	12	17	1
54	12	21	1
55	13	5	1
56	13	11	1
57	14	7	1
58	14	15	1
59	15	1	1
60	15	3	1
61	15	5	1
62	15	6	1
63	15	9	1
64	15	11	1
65	15	14	1
66	15	19	1
67	16	1	1
68	16	2	1
69	17	1	1
70	17	2	1
71	17	3	1
72	17	4	1
73	17	5	1
74	17	6	1
75	17	7	1
76	17	8	1
77	17	9	1
78	17	10	1
79	17	11	1
80	17	12	1
81	17	14	1
82	17	15	1
83	17	16	1
84	17	19	1
85	17	20	1
86	17	21	1
87	18	2	1
88	19	1	1
89	19	2	1
90	19	3	1
91	19	5	1
92	19	11	1
93	19	12	1
94	19	14	1
95	19	15	1
96	19	20	1
97	20	11	1
98	20	18	1
99	21	2	1
100	21	12	1
101	21	17	1
102	21	18	1
