Node name,Node number,Activity,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65
??????,1,,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,6,7,8,9,10,11,11,12,12,12,12,12,13,14,15,16,17,18,19,20,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
????????,2,,0,1,2,3,4,5,6,7,8,9,9,9,9,9,9,10,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,42,43,44,45
????????? — ??????????,3,,0,1,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,14,15,15,15,15,15,15,15,15,16,17,17,18,18,19,20,21,22,23,24
????? — ??? ????,4,,0,1,2,3,4,5,6,7,8,9,10,11,12,12,12,12,13,14,15,16,17,18,19,20,21,21,21,21,22,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,26,27,28,29,30,31,32
??????????,5,,0,0,0,0,0,0,0,0,1,2,3,4,4,5,6,7,7,7,7,7,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,15,16,16,16,17,18,19,20,21,22,23,23,24,25,26,27,28,29,29
?????? — ??? ???,6,,0,0,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,7,7,7,8,9,10,11,12,12,13,13,14,14,15,16,16,16,17,17,17,17,17,17,18,18,18,18,19,20,21,22,22,23,24,25,25,26,27,28,29,30,31,32,33,34,35,36,36
???,7,,0,1,2,3,3,3,3,4,5,6,7,8,9,9,9,9,9,9,9,9,9,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
????,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1-? ????,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
2-? ????,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
